,deputat,party,present,date
1,АДЛЕН ШУКРИ ШЕВКЕД,ДПС,False,2019-12-06
2,АЛБЕНА ВЛАДИМИРОВА НАЙДЕНОВА,ВОЛЯ,True,2019-12-06
3,АЛЕКСАНДЪР ДИМИТРОВ ПАУНОВ,ПГБСП,True,2019-12-06
4,АЛЕКСАНДЪР ИВАНОВ МАЦУРЕВ,ГЕРБ,False,2019-12-06
5,АЛЕКСАНДЪР КОЙЧЕВ ИВАНОВ,ГЕРБ,False,2019-12-06
6,АЛЕКСАНДЪР МАИРОВ СИДИ,ОП,True,2019-12-06
7,АЛЕКСАНДЪР НИКОЛАЕВ САБАНОВ,ОП,False,2019-12-06
8,АЛЕКСАНДЪР ПЕТРОВ АЛЕКСАНДРОВ,ГЕРБ,True,2019-12-06
9,АЛЕКСАНДЪР РУМЕНОВ НЕНКОВ,ГЕРБ,True,2019-12-06
10,АЛЕКСАНДЪР ТИХОМИРОВ СИМОВ,ПГБСП,True,2019-12-06
11,АЛТИМИР ЕМИЛОВ АДАМОВ,ГЕРБ,True,2019-12-06
12,АНАСТАС МАРИНОВ ПОПДИМИТРОВ,ПГБСП,True,2019-12-06
13,АНГЕЛ ИЛИЕВ ИСАЕВ,НЕЗ,False,2019-12-06
14,АНДОН ДИМОВ ДОНЧЕВ,ВОЛЯ,True,2019-12-06
15,АНДРИАН ИВАНОВ РАЙКОВ,ГЕРБ,False,2019-12-06
16,АННА ВАСИЛЕВА АЛЕКСАНДРОВА,ГЕРБ,False,2019-12-06
17,АННА НИКОЛАЕВА СЛАВОВА,ПГБСП,True,2019-12-06
18,АНТОН КОНСТАНТИНОВ КУТЕВ,ПГБСП,False,2019-12-06
19,АСЯ АТАНАСОВА ПЕЕВА,ГЕРБ,False,2019-12-06
20,АТАНАС ИВАНОВ ТАШКОВ,ГЕРБ,True,2019-12-06
21,АТАНАС ПЕТРОВ КОСТАДИНОВ,ПГБСП,False,2019-12-06
22,АХМЕД РЕДЖЕБОВ АХМЕДОВ,ДПС,False,2019-12-06
23,БОГДАН ЕМИЛОВ БОЦЕВ,ПГБСП,True,2019-12-06
24,БОРИС ВАНГЕЛОВ БОРИСОВ,ОП,True,2019-12-06
25,БОРИС ПЕТКОВ КЪРЧЕВ,ГЕРБ,False,2019-12-06
